Name,Calories,Protein,Fat,Carbs
ほっけ (生),161,17.3,11.1,0.1
オクラ,26,2.1,0.2,6.6
ほうれん草,18,2.2,0.4,3.1
キムチ (韓国直輸入),51,5.4,0.7,5.8
玉ねぎ,33,1.0,0.1,8.4
円熟こうじみそ,204,10.3,5.9,27.4
舞茸,22,2.0,0.5,4.4
キウイ (緑),51,1.0,0.1,13.4
茹で鶏むね肉 (皮なし),137,28.4,1.9,0.1
ブロッコリー (茹で),30,5.2,0.6,5.1
オーストラリア産ハチミツ,314,0.3,0,82.1
納豆 (タレ付換算),176,14.8,8.6,13.0
大根おろし,15,0.5,0.1,4.0
鶏卵 (全卵),151,12.3,10.3,0.3
冷凍ブルーベリー,48,0.5,0.1,12.9
脂肪0 ヨーグルト,46,3.9,0,7.0
もずく酢 (三杯酢),45,0.6,0.1,11.0
WPIプロテイン (NZ Grass-fed),375,89.0,1.0,1.1
マルトデキストリン (HULX-FACTOR),384,0,0,96.0
いか昆布ふりかけ (ソフト),323,21.7,12.3,31.7
